Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,235514,30,1,SILVER,SILVER24NOV22P72000,24-NOV-2022,OPTFUT,PE,72000,0.5,
MCX,235513,30,1,SILVER,SILVER24NOV22C72000,24-NOV-2022,OPTFUT,CE,72000,0.5,
MCX,237442,5,1000,ZINC,ZINC21JUN22P320,21-JUN-2022,OPTFUT,PE,320,0.01,
MCX,237441,5,1000,ZINC,ZINC21JUN22C320,21-JUN-2022,OPTFUT,CE,320,0.01,
MCX,237440,5,1000,ZINC,ZINC21JUN22P317.5,21-JUN-2022,OPTFUT,PE,317.5,0.01,
MCX,237439,5,1000,ZINC,ZINC21JUN22C317.5,21-JUN-2022,OPTFUT,CE,317.5,0.01,
MCX,237438,5,1000,ZINC,ZINC21JUN22P315,21-JUN-2022,OPTFUT,PE,315,0.01,
MCX,237437,5,1000,ZINC,ZINC21JUN22C315,21-JUN-2022,OPTFUT,CE,315,0.01,
MCX,237436,5,1000,ZINC,ZINC21JUN22P312.5,21-JUN-2022,OPTFUT,PE,312.5,0.01,
MCX,237435,5,1000,ZINC,ZINC21JUN22C312.5,21-JUN-2022,OPTFUT,CE,312.5,0.01,
MCX,237434,5,1000,ZINC,ZINC21JUN22P310,21-JUN-2022,OPTFUT,PE,310,0.01,
MCX,237433,5,1000,ZINC,ZINC21JUN22C310,21-JUN-2022,OPTFUT,CE,310,0.01,
MCX,237432,5,1000,ZINC,ZINC21JUN22P307.5,21-JUN-2022,OPTFUT,PE,307.5,0.01,
MCX,237431,5,1000,ZINC,ZINC21JUN22C307.5,21-JUN-2022,OPTFUT,CE,307.5,0.01,
MCX,237430,5,1000,ZINC,ZINC21JUN22P305,21-JUN-2022,OPTFUT,PE,305,0.01,
MCX,237429,5,1000,ZINC,ZINC21JUN22C305,21-JUN-2022,OPTFUT,CE,305,0.01,
MCX,237428,5,1000,ZINC,ZINC21JUN22P302.5,21-JUN-2022,OPTFUT,PE,302.5,0.01,
MCX,237427,5,1000,ZINC,ZINC21JUN22C302.5,21-JUN-2022,OPTFUT,CE,302.5,0.01,
MCX,237426,5,1000,ZINC,ZINC21JUN22P300,21-JUN-2022,OPTFUT,PE,300,0.01,
MCX,237425,5,1000,ZINC,ZINC21JUN22C300,21-JUN-2022,OPTFUT,CE,300,0.01,
MCX,237424,5,1000,ZINC,ZINC21JUN22P297.5,21-JUN-2022,OPTFUT,PE,297.5,0.01,
MCX,237423,5,1000,ZINC,ZINC21JUN22C297.5,21-JUN-2022,OPTFUT,CE,297.5,0.01,
MCX,237422,5,1000,ZINC,ZINC21JUN22P295,21-JUN-2022,OPTFUT,PE,295,0.01,
MCX,237421,5,1000,ZINC,ZINC21JUN22C295,21-JUN-2022,OPTFUT,CE,295,0.01,
MCX,237420,5,1000,ZINC,ZINC21JUN22P292.5,21-JUN-2022,OPTFUT,PE,292.5,0.01,
MCX,237419,5,1000,ZINC,ZINC21JUN22C292.5,21-JUN-2022,OPTFUT,CE,292.5,0.01,
MCX,237418,5,1000,ZINC,ZINC21JUN22P290,21-JUN-2022,OPTFUT,PE,290,0.01,
MCX,237417,5,1000,ZINC,ZINC21JUN22C290,21-JUN-2022,OPTFUT,CE,290,0.01,
MCX,237416,5,1000,ZINC,ZINC21JUN22P287.5,21-JUN-2022,OPTFUT,PE,287.5,0.01,
MCX,237415,5,1000,ZINC,ZINC21JUN22C287.5,21-JUN-2022,OPTFUT,CE,287.5,0.01,
MCX,237414,5,1000,ZINC,ZINC21JUN22P285,21-JUN-2022,OPTFUT,PE,285,0.01,
MCX,237413,5,1000,ZINC,ZINC21JUN22C285,21-JUN-2022,OPTFUT,CE,285,0.01,
MCX,237412,1500,1,NICKEL,NICKEL21JUN22P1980,21-JUN-2022,OPTFUT,PE,1980,0.05,
MCX,237411,1500,1,NICKEL,NICKEL21JUN22C1980,21-JUN-2022,OPTFUT,CE,1980,0.05,
MCX,237410,1500,1,NICKEL,NICKEL21JUN22P1960,21-JUN-2022,OPTFUT,PE,1960,0.05,
MCX,237409,1500,1,NICKEL,NICKEL21JUN22C1960,21-JUN-2022,OPTFUT,CE,1960,0.05,
MCX,237408,1500,1,NICKEL,NICKEL21JUN22P1940,21-JUN-2022,OPTFUT,PE,1940,0.05,
MCX,237407,1500,1,NICKEL,NICKEL21JUN22C1940,21-JUN-2022,OPTFUT,CE,1940,0.05,
MCX,237406,1500,1,NICKEL,NICKEL21JUN22P1920,21-JUN-2022,OPTFUT,PE,1920,0.05,
MCX,237405,1500,1,NICKEL,NICKEL21JUN22C1920,21-JUN-2022,OPTFUT,CE,1920,0.05,
MCX,237404,1500,1,NICKEL,NICKEL21JUN22P1900,21-JUN-2022,OPTFUT,PE,1900,0.05,
MCX,237403,1500,1,NICKEL,NICKEL21JUN22C1900,21-JUN-2022,OPTFUT,CE,1900,0.05,
MCX,237402,1500,1,NICKEL,NICKEL21JUN22P1880,21-JUN-2022,OPTFUT,PE,1880,0.05,
MCX,237401,1500,1,NICKEL,NICKEL21JUN22C1880,21-JUN-2022,OPTFUT,CE,1880,0.05,
MCX,237400,1500,1,NICKEL,NICKEL21JUN22P1860,21-JUN-2022,OPTFUT,PE,1860,0.05,
MCX,237399,1500,1,NICKEL,NICKEL21JUN22C1860,21-JUN-2022,OPTFUT,CE,1860,0.05,
MCX,237398,1500,1,NICKEL,NICKEL21JUN22P1840,21-JUN-2022,OPTFUT,PE,1840,0.05,
MCX,237397,1500,1,NICKEL,NICKEL21JUN22C1840,21-JUN-2022,OPTFUT,CE,1840,0.05,
MCX,237396,1500,1,NICKEL,NICKEL21JUN22P1820,21-JUN-2022,OPTFUT,PE,1820,0.05,
MCX,237395,1500,1,NICKEL,NICKEL21JUN22C1820,21-JUN-2022,OPTFUT,CE,1820,0.05,
MCX,237394,1500,1,NICKEL,NICKEL21JUN22P1800,21-JUN-2022,OPTFUT,PE,1800,0.05,
MCX,237393,1500,1,NICKEL,NICKEL21JUN22C1800,21-JUN-2022,OPTFUT,CE,1800,0.05,
MCX,237392,1500,1,NICKEL,NICKEL21JUN22P1780,21-JUN-2022,OPTFUT,PE,1780,0.05,
MCX,237391,1500,1,NICKEL,NICKEL21JUN22C1780,21-JUN-2022,OPTFUT,CE,1780,0.05,
MCX,237390,1500,1,NICKEL,NICKEL21JUN22P1760,21-JUN-2022,OPTFUT,PE,1760,0.05,
MCX,237389,1500,1,NICKEL,NICKEL21JUN22C1760,21-JUN-2022,OPTFUT,CE,1760,0.05,
MCX,237388,1500,1,NICKEL,NICKEL21JUN22P1740,21-JUN-2022,OPTFUT,PE,1740,0.05,
MCX,237387,1500,1,NICKEL,NICKEL21JUN22C1740,21-JUN-2022,OPTFUT,CE,1740,0.05,
MCX,237386,1500,1,NICKEL,NICKEL21JUN22P1720,21-JUN-2022,OPTFUT,PE,1720,0.05,
MCX,237385,1500,1,NICKEL,NICKEL21JUN22C1720,21-JUN-2022,OPTFUT,CE,1720,0.05,
MCX,237384,1500,1,NICKEL,NICKEL21JUN22P1700,21-JUN-2022,OPTFUT,PE,1700,0.05,
MCX,237383,1500,1,NICKEL,NICKEL21JUN22C1700,21-JUN-2022,OPTFUT,CE,1700,0.05,
MCX,237352,100,1,CRUDEOIL,CRUDEOIL17MAY22P8950,17-MAY-2022,OPTFUT,PE,8950,0.1,
MCX,237351,100,1,CRUDEOIL,CRUDEOIL17MAY22C8950,17-MAY-2022,OPTFUT,CE,8950,0.1,
MCX,237350,100,1,CRUDEOIL,CRUDEOIL17MAY22P8900,17-MAY-2022,OPTFUT,PE,8900,0.1,
MCX,237349,100,1,CRUDEOIL,CRUDEOIL17MAY22C8900,17-MAY-2022,OPTFUT,CE,8900,0.1,
MCX,237348,100,1,CRUDEOIL,CRUDEOIL17MAY22P8850,17-MAY-2022,OPTFUT,PE,8850,0.1,
MCX,237347,100,1,CRUDEOIL,CRUDEOIL17MAY22C8850,17-MAY-2022,OPTFUT,CE,8850,0.1,
